promo_id,player_id,campaign_name, promo_amount_redeemed ,redemption_date
PRM_8001,PLR_1001,Aug_DirectMail_FreePlay, $150.00 ,8/29/26
PRM_8002,PLR_1002,Aug_DirectMail_FreePlay, $150.00 ,8/9/26
PRM_8003,PLR_1003,Aug_DirectMail_FreePlay, $150.00 ,8/21/26
PRM_8004,PLR_1004,Aug_DirectMail_FreePlay, $150.00 ,8/22/26
PRM_8005,PLR_1005,Aug_DirectMail_FreePlay, $150.00 ,8/19/26
PRM_8006,PLR_1006,Aug_DirectMail_FreePlay, $50.00 ,8/17/26
PRM_8007,PLR_1007,Aug_DirectMail_FreePlay, $50.00 ,8/29/26
PRM_8008,PLR_1008,Aug_DirectMail_FreePlay, $50.00 ,8/13/26
PRM_8009,PLR_1009,Aug_DirectMail_FreePlay, $50.00 ,8/22/26
PRM_8010,PLR_1010,Aug_DirectMail_FreePlay, $50.00 ,8/14/26
PRM_8011,PLR_1011,Aug_DirectMail_FreePlay, $50.00 ,8/4/26
PRM_8012,PLR_1012,Aug_DirectMail_FreePlay, $50.00 ,8/17/26
PRM_8013,PLR_1013,Aug_DirectMail_FreePlay, $50.00 ,8/18/26
PRM_8014,PLR_1014,Aug_DirectMail_FreePlay, $50.00 ,8/27/26
PRM_8015,PLR_1015,Aug_DirectMail_FreePlay, $50.00 ,8/15/26
PRM_8016,PLR_1016,Aug_DirectMail_FreePlay, $50.00 ,8/19/26
PRM_8017,PLR_1017,Aug_DirectMail_FreePlay, $50.00 ,8/25/26
PRM_8018,PLR_1018,Aug_DirectMail_FreePlay, $50.00 ,8/4/26
PRM_8019,PLR_1019,Aug_DirectMail_FreePlay, $50.00 ,8/15/26
PRM_8020,PLR_1020,Aug_DirectMail_FreePlay, $50.00 ,8/19/26
PRM_8021,PLR_1021,Aug_DirectMail_FreePlay, $50.00 ,8/14/26
PRM_8022,PLR_1022,Aug_DirectMail_FreePlay, $50.00 ,8/28/26
PRM_8023,PLR_1023,Aug_DirectMail_FreePlay, $50.00 ,8/13/26
PRM_8024,PLR_1024,Aug_DirectMail_FreePlay, $50.00 ,8/6/26
PRM_8025,PLR_1025,Aug_DirectMail_FreePlay, $50.00 ,8/15/26
PRM_8026,PLR_1026,Aug_DirectMail_FreePlay, $25.00 ,8/23/26
PRM_8027,PLR_1027,Aug_DirectMail_FreePlay, $25.00 ,8/17/26
PRM_8028,PLR_1028,Aug_DirectMail_FreePlay, $25.00 ,8/26/26
PRM_8029,PLR_1029,Aug_DirectMail_FreePlay, $25.00 ,8/15/26
PRM_8030,PLR_1030,Aug_DirectMail_FreePlay, $25.00 ,8/18/26
PRM_8031,PLR_1031,Aug_DirectMail_FreePlay, $25.00 ,8/10/26
PRM_8032,PLR_1032,Aug_DirectMail_FreePlay, $25.00 ,8/3/26
PRM_8033,PLR_1033,Aug_DirectMail_FreePlay, $25.00 ,8/27/26
PRM_8034,PLR_1034,Aug_DirectMail_FreePlay, $25.00 ,8/12/26
PRM_8035,PLR_1035,Aug_DirectMail_FreePlay, $25.00 ,8/22/26
PRM_8036,PLR_1036,Aug_DirectMail_FreePlay, $25.00 ,8/2/26
PRM_8037,PLR_1037,Aug_DirectMail_FreePlay, $25.00 ,8/15/26
PRM_8038,PLR_1038,Aug_DirectMail_FreePlay, $25.00 ,8/12/26
PRM_8039,PLR_1039,Aug_DirectMail_FreePlay, $25.00 ,8/13/26
PRM_8040,PLR_1040,Aug_DirectMail_FreePlay, $25.00 ,8/10/26
